證券代碼,簡稱,年月日,市值(百萬元)
1477,聚陽         ,20050103,5149
2374,佳能         ,20050103,5129
1460,宏遠         ,20050103,5027
5434,崇越         ,20050103,5018
2025,千興         ,20050103,4971
2705,六福         ,20050103,4965
5469,瀚宇博       ,20050103,4934
6120,輔祥         ,20050103,4916
2485,兆赫         ,20050103,4866
1711,永光         ,20050103,4790
2009,第一銅       ,20050103,4764
2022,聚亨         ,20050103,4745
4526,東台         ,20050103,4728
3017,奇鋐         ,20050103,4720
1109,信大         ,20050103,4677
3055,蔚華科       ,20050103,4664
6196,帆宣         ,20050103,4632
1308,亞聚         ,20050103,4627
6286,立錡         ,20050103,4625
2405,浩鑫         ,20050103,4620
2321,東訊         ,20050103,4608
2505,國揚         ,20050103,4599
2034,允強         ,20050103,4563
5534,長虹         ,20050103,4560
1538,正峰新       ,20050103,4547
1810,和成         ,20050103,4545
9939,宏全         ,20050103,4541
1531,高林股       ,20050103,4413
9930,中聯資       ,20050103,4410
3022,威強電       ,20050103,4395
2850,新產         ,20050103,4358
9914,美利達       ,20050103,4319
2906,高林         ,20050103,4256
1419,新紡         ,20050103,4225
2367,燿華         ,20050103,4219
8016,矽創         ,20050103,4209
9943,好樂迪       ,20050103,4161
3059,華晶科       ,20050103,4134
9928,中視         ,20050103,4133
1701,中化         ,20050103,4118
2499,東貝         ,20050103,4106
2369,菱生         ,20050103,4072
2380,虹光         ,20050103,4069
3015,全漢         ,20050103,4061
1459,聯發         ,20050103,4052
3043,科風         ,20050103,4028
1227,佳格         ,20050103,3995
1108,幸福         ,20050103,3946
3005,神基         ,20050103,3906
2417,圓剛         ,20050103,3848
6152,百一         ,20050103,3726
3041,揚智         ,20050103,3695
3038,全台         ,20050103,3685
9938,百和         ,20050103,3685
2481,強茂         ,20050103,3656
2480,敦陽科       ,20050103,3611
2030,彰源         ,20050103,3608
2406,國碩         ,20050103,3582
2007,燁興         ,20050103,3573
2612,中航         ,20050103,3573
2012,春雨         ,20050103,3554
1611,中電         ,20050103,3511
1210,大成         ,20050103,3477
2020,美亞         ,20050103,3464
2701,萬企         ,20050103,3464
8070,長華         ,20050103,3456
1902,台紙         ,20050103,3449
6230,超眾         ,20050103,3447
2109,華豐         ,20050103,3443
2535,達欣工       ,20050103,3422
5484,慧友         ,20050103,3422
6289,華上         ,20050103,3411
